id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
29419,FREE MOBILE,AJO,LTE 900,(LA SENSINE) 33670 SADIRAC,33363,"44.7864,-0.3811",Pylône autostable,36m,HIVORY,False,False
29847,FREE MOBILE,ALL,LTE 900,CENTRALE SOLAIRE DE BRANNENS D116 - PROCHE A62 (LULUGRAN) 33124 BRANNENS,33072,"44.5297,-0.1806",Pylône autostable,35m,HIVORY,False,False
30517,FREE MOBILE,AJO,LTE 900,R DES MONTS D'ARRÉES ZI DE CHEDEVILLE 35140 ST AUBIN DU CORMIER,35253,"48.2617,-1.4078",Pylône autostable,30m,HIVORY,False,False
76973,FREE MOBILE,ALL,LTE 900,ALLÉE FERDINAND DE LESSEPS ZA ECONOMIQUE (LA FERME) 33470 GUJAN MESTRAS,33199,"44.6131,-1.0706",Pylône autostable,45m,TDF,False,False
79626,SFR,SUP,GSM 900,CD LANDES DE LA BATAILLE (GENÊT D'ESPAGNE) 49420 OMBREE D ANJOU,49248,"47.66,-1.0928",Tour hertzienne,77m,TDF,False,False
90810,ORANGE,AJO,5G NR 2100,(PENN AR MENEZ) 29190 BRASPARTS,29016,"48.2956,-3.9631",Pylône autostable,30m,TOTEM,False,False
96988,ORANGE,SUP,"GSM 900, UMTS 900, LTE 800, LTE 1800, LTE 2100",PL DE L'EGLISE 44550 MONTOIR DE BRETAGNE,44103,"47.3281,-2.1561",Monument religieux,28m,"Commune, communauté de communes",False,False
226529,FREE MOBILE,ALL,LTE 900,VERS LE BOS GAUDIN (LA GAUDINIÈRE) 85630 BARBATRE,85011,"46.9417,-2.1731",Pylône autostable,28m,ATC FRANCE,False,False
244128,FREE MOBILE,AJO,LTE 900,32 R FRANCOEUR 91170 VIRY CHATILLON,91687,"48.6739,2.3814",Immeuble,26m,"Copropriété, Syndic, SCI",False,False
278570,SFR,ALL,"UMTS 900, LTE 800, LTE 1800, LTE 2100",GARE TGV AIX EN PROVENCE RD 9 13480 CABRIES,13019,"43.455,5.3172",Bâtiment,"18,5m",SNCF Réseau,False,False
317881,OUTREMER TELECOM,AJO,LTE 700,CH DU RADAR (DUBISQUET) 97139 LES ABYMES,97101,"16.2847,-61.4547",Pylône autostable,37m,Outremer Telecom,False,False
317881,OUTREMER TELECOM,SUP,GSM 1800,CH DU RADAR (DUBISQUET) 97139 LES ABYMES,97101,"16.2847,-61.4547",Pylône autostable,37m,Outremer Telecom,False,False
319320,OUTREMER TELECOM,AJO,"LTE 700, LTE 2100",BEAUSEJOUR (FORT MARMOUZETTE) 97127 LA DESIRADE,97110,"16.3047,-61.0767",Pylône autostable,30m,Outremer Telecom,False,False
324139,FREE CARAIBES,AJO,UMTS 900,BEAUSEJOUR ILE DE MARIE GALANTE (MOISAN) 97140 CAPESTERRE DE MARIE GALANTE,97108,"15.9067,-61.2136",Pylône autostable,35m,Outremer Telecom,False,False
363990,OUTREMER TELECOM,AJO,"LTE 700, LTE 2100",ROUTE DE SAVANE PETIT (SAVANE HUBERT) 97260 LE MORNE ROUGE,97218,"14.7803,-61.1358",Mât béton,16m,Outremer Telecom,False,False
363990,OUTREMER TELECOM,SUP,GSM 1800,ROUTE DE SAVANE PETIT (SAVANE HUBERT) 97260 LE MORNE ROUGE,97218,"14.7803,-61.1358",Mât béton,16m,Outremer Telecom,False,False
364239,DIGICEL,AJO,"UMTS 900, UMTS 2100, LTE 900, LTE 1800, LTE 2100, LTE 2600",2 ROCADE DU BEL HORIZON IMM HORIZON (DABADIE) 97200 FORT DE FRANCE,97209,"14.6408,-61.0547",Immeuble,19m,"Copropriété, Syndic, SCI",False,True
364239,OUTREMER TELECOM,AJO,"LTE 700, LTE 2100",2 ROCADE DU BEL HORIZON IMM HORIZON (DABADIE) 97200 FORT DE FRANCE,97209,"14.6408,-61.0547",Immeuble,19m,"Copropriété, Syndic, SCI",False,False
364239,OUTREMER TELECOM,SUP,GSM 1800,2 ROCADE DU BEL HORIZON IMM HORIZON (DABADIE) 97200 FORT DE FRANCE,97209,"14.6408,-61.0547",Immeuble,19m,"Copropriété, Syndic, SCI",False,False
365417,OUTREMER TELECOM,AJO,"LTE 700, LTE 2100",RUE DU STADE STADE (MORNE DES ESSES) 97230 STE MARIE,97228,"14.7464,-61.01",Pylône autostable,30m,Outremer Telecom,False,False
365417,OUTREMER TELECOM,SUP,GSM 1800,RUE DU STADE STADE (MORNE DES ESSES) 97230 STE MARIE,97228,"14.7464,-61.01",Pylône autostable,30m,Outremer Telecom,False,False
