id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
22132,Gouv Nelle Calédonie (OPT),ALL,"LTE 800, LTE 2100",2 B  ROUTE DU SÉMAPHORE POINT 116 (VALLÉE DU GÉNIE) 98800 NOUMEA,98818,"-22.27,166.4456",Pylône autostable,42m,Office des Postes et Télécom,False,False
22240,Gouv Nelle Calédonie (OPT),ALL,LTE 800,(TIGA) 98820 LIFOU,98814,"-21.0981,167.8017",Pylône autostable,20m,Office des Postes et Télécom,False,False
33449,SFR,ALL,"LTE 1800, LTE 2100, 5G NR 2100",CHEM COMMUNAL N° 3 DE VERDENAL À DOMEVRE SUR VEZOUZE 54450 VERDENAL,54562,"48.5817,6.81",Pylône autostable,41m,SFR,False,False
63596,ORANGE,ALL,"LTE 700, 5G NR 2100, 5G NR 3500",RTE HUBERT DELISLE (LES ORANGERS) 97437 ST BENOIT,97410,"-21.1189,55.7481",Pylône autostable,12m,ORANGE,False,False
96218,ORANGE,AJO,"LTE 2100, 5G NR 700, 5G NR 3500",R PAUL BESNARD D 63 41230 MUR DE SOLOGNE,41157,"47.4133,1.6083",Pylône tubulaire,41m,DDE,False,False
96218,ORANGE,SUP,LTE 700,R PAUL BESNARD D 63 41230 MUR DE SOLOGNE,41157,"47.4133,1.6083",Pylône tubulaire,41m,DDE,False,False
136432,ORANGE,ALL,"5G NR 700, 5G NR 3500",AIRE DE SERVICE DE MONTÉLIMAR 26780 ALLAN,26005,"44.5189,4.7819",Pylône autostable,30m,ORANGE,False,False
278570,SFR,AJO,"UMTS 900, LTE 800, LTE 1800, LTE 2100",GARE TGV AIX EN PROVENCE RD 9 13480 CABRIES,13019,"43.455,5.3172",Bâtiment,"18,5m",SNCF Réseau,False,False
278570,SFR,SUP,UMTS 2100,GARE TGV AIX EN PROVENCE RD 9 13480 CABRIES,13019,"43.455,5.3172",Bâtiment,"18,5m",SNCF Réseau,False,False
309729,SRR,AJO,5G NR 3500,PISTE SOGEA 97670 OUANGANI,97614,"-12.8297,45.1247",Pylône autostable,25m,Société Réunionnaise de Radiotéléphonie,False,False
328515,FREE CARAIBES,ALL,"UMTS 900, UMTS 2100, LTE 1800, LTE 2100",(MALMANOURY) 97315 SINNAMARY,97312,"5.2958,-52.8394",Pylône autostable,"52,3m",ORANGE,False,True
370291,ORANGE,SUP,"UMTS 900, LTE 700, LTE 800",PRÈS D.48 ZI LES BOUSCAILLOUS ETS LACAZE (BOUSCAILLOUS) 46120 LEYME,46170,"44.78,1.8967",Mât,14m,TOTEM,True,False
392984,SRR,AJO,5G NR 3500,ROUTE DE VAHIBE CCT 3 PASSAMAINTY YAJOU (PASSAMAINTY) 97600 MAMOUDZOU,97611,"-12.8033,45.2044",Pylône autostable,"7,8m",Société Réunionnaise de Radiotéléphonie,False,False
417371,ORANGE,AJO,"LTE 700, 5G NR 2100",(LE CHÂTEAU D'AYMARE) 46300 LE VIGAN,46334,"44.7178,1.4722",Pylône autostable,32m,TOTEM,False,False
