id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
30517,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100",R DES MONTS D'ARRÉES ZI DE CHEDEVILLE 35140 ST AUBIN DU CORMIER,35253,"48.2617,-1.4078",Pylône autostable,30m,HIVORY,False,False
40021,SFR,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2600",R DE MONTHERY CCAL CARREFOUR 77340 PONTAULT COMBAULT,77373,"48.7772,2.6081",Bâtiment,11m,"Copropriété, Syndic, SCI",False,False
74371,ORANGE,ALL,"5G NR 700, 5G NR 3500",SILO COOPÉRATIVE AGRICOLE (LES FONTAINES) 17620 ST AGNANT,17308,"45.8606,-0.9517",Silo,44m,"Coopérative Agricole, Vinicole",False,False
89890,ORANGE,ALL,"LTE 1800, 5G NR 2100",(LES VERGNES) 23200 ST PARDOUX LE NEUF,23228,"45.9417,2.2547",Pylône autostable,30m,TOTEM,False,False
90830,ORANGE,AJO,"5G NR 700, 5G NR 3500",CHÂTEAU D'EAU (GORREQUER) 29370 ELLIANT,29049,"47.9947,-3.8847",Château d'eau - réservoir,21m,"Commune, communauté de communes",False,False
93770,ORANGE,AJO,5G NR 2100,(LA TREMBLAIE) 37130 MAZIERES DE TOURAINE,37150,"47.3875,0.4197",Pylône autostable,30m,TOTEM,False,False
98182,ORANGE,ALL,5G NR 700,D 165 (ST ROCH) 50320 LA HAYE PESNEL,50237,"48.8006,-1.3881",Château d'eau - réservoir,38m,"Commune, communauté de communes",False,False
101563,ORANGE,AJO,"5G NR 700, 5G NR 3500",RELAIS HERTZIEN FRANCE TELECOM RN.116 (QUARTIER EL PLA) 66800 SAILLAGOUSE,66167,"42.4525,2.0292",Pylône tubulaire,15m,TOTEM,False,False
101563,ORANGE,SUP,LTE 700,RELAIS HERTZIEN FRANCE TELECOM RN.116 (QUARTIER EL PLA) 66800 SAILLAGOUSE,66167,"42.4525,2.0292",Pylône tubulaire,15m,TOTEM,False,False
102152,ORANGE,AJO,"LTE 700, 5G NR 2100",60 R DE L'EGLISE 68510 KAPPELEN,68160,"47.6178,7.435",Immeuble,16m,"Commune, communauté de communes",False,False
