id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
105292,ORANGE,AJO,"LTE 700, 5G NR 2100",CHEM RURAL DU CHÂTEAU D'EAU 79700 ST AMAND SUR SEVRE,79235,"46.8686,-0.7903",Château d'eau - réservoir,"15,3m","Commune, communauté de communes",False,False
249098,ONATI,AJO,LTE 1800,AGENCE OPT MAHINA RTE DE LA POINTE VÉNUS (OPT MAHINA) 98709 MAHINA,98725,"-17.5031,-149.4922",Pylône autostable,30m,Office des Postes et Télécom,False,False
256320,ONATI,AJO,LTE 1800,VALLÉE DE LA HAMUTA PARKING DU MAGASIN US DEPOT (HAMUTA) 98716 PIRAE,98736,"-17.5369,-149.5475",Mât métallique,14m,Onati,False,False
261637,ONATI,AJO,LTE 1800,LOT PIC ROUGE VALLÉE DE TIPAERUI (TIPAERUI 2) 98714 PAPEETE,98735,"-17.5572,-149.5689",Mât,18m,Onati,False,False
346018,SRR,AJO,5G NR 3500,R BAHONI (COMBANI) 97615 PAMANDZI,97615,"-12.7978,45.2794",Mât béton,"12,4m",Société Réunionnaise de Radiotéléphonie,False,False
435882,FREE MOBILE,ALL,"UMTS 900, LTE 700, LTE 1800, LTE 2600",R DE WITTELSHEIM CENTRAL TÉLÉPHONIQUE 68700 CERNAY,68063,"47.8028,7.1772",Pylône autostable,39m,TOTEM,False,True
436652,BOUYGUES TELECOM,ALL,"LTE 2600, 5G NR 3500",LA GARE CHEM RURAL (SAULTCHEVREUIL-DU-TRONCHET) 50800 VILLEDIEU LES POELES ROUFFIGNY,50639,"48.8336,-1.2269",Pylône autostable,41m,TDF,False,False
436979,SFR,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",CHAMP LAZARE (LES MENIÈRES) 25110 BAUME LES DAMES,25047,"47.3686,6.3586",Pylône autostable,60m,Sociétés d'Autoroutes,False,False
437053,BOUYGUES TELECOM,ALL,5G NR 3500,34 BD DE BOIS GUILBERT DIRECTION DU PORT 76000 ROUEN,76540,"49.4444,1.0733",Bâtiment,37m,"CCI, Ch Métier, Port Aut, Aéroport",False,False
437366,BOUYGUES TELECOM,ALL,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",R DU CHATEAU D'EAU (PIECE DE LA GARENNE) 17132 MESCHERS SUR GIRONDE,17230,"45.5669,-0.9622",Pylône autostable,"50,5m",TDF,False,True
437475,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",CHEM RURAL PYLÔNE RFF E233 (LE JOLI CHAMP) 55300 ROUVROIS SUR MEUSE,55444,"48.9592,5.5408",Pylône autostable,33m,SNCF Réseau,False,False
437635,BOUYGUES TELECOM,EXT,5G NR 3500,26 R DU TRANSVAAL 8 R PIERRE CURIE 21000 DIJON,21231,"47.3156,5.04",Immeuble,31m,"Commune, communauté de communes",False,False
437722,BOUYGUES TELECOM,ALL,LTE 700,"AV D'APLEMONT 122 , R ANDREI SAKHAROV 76600 LE HAVRE",76351,"49.5042,0.1758",Pylône autostable,132m,TDF,False,False
439056,FREE MOBILE,ALL,5G NR 3500,V C N°2 (LES PEYROUSES) 07400 LE TEIL,7319,"44.5397,4.6803",Pylône autostable,20m,TDF,False,False
439292,ORANGE,SUP,LTE 700,CHEM RURAL DIT NIEDERBERGASSE (GROSSBERG) 68440 DIETWILLER,68072,"47.6939,7.4078",Pylône autostable,36m,TOTEM,False,False
440050,FREE MOBILE,ALL,5G NR 3500,D 74 (LA CROIX BLANCHE) 35350 ST COULOMB,35263,"48.6669,-1.9028",Pylône autostable,44m,TDF,False,False
440149,BOUYGUES TELECOM,ALL,5G NR 3500,45 R DU MARECHAL LECLERC 62114 SAINS EN GOHELLE,62737,"50.4469,2.6839",Immeuble,21m,Société Privée,False,False
441522,ORANGE,ALL,LTE 2100,RIAUX DE VELARS (LES VARENNES) 21430 VIANGES,21675,"47.1694,4.3267",Pylône autostable,45m,TDF,False,False
442814,BOUYGUES TELECOM,EXT,5G NR 3500,R JULES GUESDES 62660 BEUVRY,62126,"50.5231,2.6711",Château d'eau - réservoir,"42,2m","Syndicat des eaux, Adduction",False,False
443852,ORANGE,AJO,"LTE 700, 5G NR 2100",RTE DES FIOLES (LES TRÉBONS) 13930 AUREILLE,13006,"43.6958,4.94",Pylône arbre,27m,ATC FRANCE,False,False
444906,BOUYGUES TELECOM,ALL,5G NR 3500,PL PIE PARK DES HALLES R BONNETERIE 84000 AVIGNON,84007,"43.9475,4.8103",Bâtiment,27m,"Commune, communauté de communes",False,False
446589,SFR,AJO,"LTE 1800, LTE 2100, 5G NR 2100",(BERGAIROUZE) 34370 CREISSAN,34089,"43.3917,2.9842",Pylône autostable,30m,ATC FRANCE,False,False
446738,FREE MOBILE,AJO,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",RN 98 (GRATTELOUP) 83230 BORMES LES MIMOSAS,83019,"43.1706,6.3322",Pylône tubulaire,"22,2m",HIVORY,False,True
448229,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",CHEM DE DISETTE PYLÔNE RFF 263 (TALLANDIER) 54530 PRENY,54435,"48.9672,5.9389",Pylône autostable,28m,SNCF Réseau,False,False
448257,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",PYLÔNE RFF - PK 90.170-DR/O/068 (LE BOIS DE LA NOUE) 02130 VILLERS AGRON AIGUIZY,02809,"49.1775,3.7094",Pylône autostable,40m,SNCF Réseau,False,False
448725,SFR,ALL,"LTE 700, LTE 2600",4 CHEM RURAL VILLIERS (LA FEUILLETTE) 28130 MAINTENON,28227,"48.5981,1.5758",Pylône autostable,43m,TDF,False,False
449554,ORANGE,SUP,LTE 700,D59 (LA BRETONNIÈRE) 44120 VERTOU,44215,"47.1644,-1.4592",Pylône tubulaire,30m,TOTEM,False,False
449588,FREE MOBILE,ALL,5G NR 3500,LE BOIS DU MONT LE MOYEU FERRE (BUTTE DES MARAIS) 60000 AUX MARAIS,60703,"49.4114,2.0614",Pylône autostable,61m,TDF,False,False
