id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
39087,SFR,SUP,"GSM 1800, UMTS 2100","4, R PAUL RAOUL DAUTRY 75014 PARIS 14",75114,"48.8408,2.3203",Bâtiment,"15,0m",SNCF Réseau,False,False
39475,SFR,AJO,5G NR 2100,13 AV BOUDON 75016 PARIS 16,75116,"48.8494,2.2697",Immeuble,"37,4m","Copropriété, Syndic, SCI",False,False
53214,TELCO OI,ALL,"LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",758 AV DES MASCAREIGNES (CAMBUSTON) 97440 ST ANDRE,97409,"-20.9361,55.6475",Pylône autostable,"30,0m",SFR,False,False
69887,ORANGE,ALL,5G NR 700,R A. BECQUEREL IMP A.BECQUEREL 11100 NARBONNE,11262,"43.1522,2.9778",Pylône autostable,"17,0m",TDF,False,False
71389,ORANGE,ALL,5G NR 700,N.206 - CHEM DU CREDO (ARNIÈRES) 01200 LEAZ,01209,"46.0994,5.88",Mât,"16,0m",TOTEM,False,False
72499,ORANGE,SUP,"GSM 900, UMTS 900, LTE 800, LTE 1800, LTE 2100",CHE DU SERRE POINTU (L'AIGUILLE) 07400 AUBIGNAS,07020,"44.5833,4.6189",Pylône autostable,"12,0m",TOTEM,False,False
77813,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600",10 R LOSSERAND 37000 TOURS,37261,"47.4025,0.6894",Monument religieux,"29,0m","Commune, communauté de communes",False,False
81342,ORANGE,ALL,5G NR 700,R DE L'EGLISE 59970 VICQ,59613,"50.4092,3.6042",Monument religieux,"38,0m","Commune, communauté de communes",False,False
89606,ORANGE,ALL,5G NR 700,1 ROND POINT DE LA NATION 21000 DIJON,21231,"47.3467,5.0467",Immeuble,"33,0m",Société Privée,False,False
90876,ORANGE,AJO,"LTE 700, LTE 2600, 5G NR 700, 5G NR 3500",VC 1 DU CD 765 À POULLAN SUR MER (MENEZ TROMILLOU) 29790 CONFORT MEILARS,29145,"48.0578,-4.4206",Pylône autostable,"30,0m",TOTEM,False,False
92476,ORANGE,ALL,5G NR 700,RÉSERVOIR (EN MILLET) 32600 L ISLE JOURDAIN,32160,"43.6017,1.1039",Château d'eau - réservoir,"23,0m","Commune, communauté de communes",False,False
92867,ORANGE,ALL,5G NR 700,CH DE LA NOUNE 33480 BRACH,33070,"45.0433,-0.9339",Pylône autostable,"36,6m",TOTEM,False,False
93750,ORANGE,AJO,"LTE 700, LTE 2100, 5G NR 700, 5G NR 3500",RTE DE MONTS. (CHÂTEAU D'EAU) 37250 SORIGNY,37250,"47.2456,0.6922",Château d'eau - réservoir,"50,0m","Commune, communauté de communes",False,False
93772,ORANGE,ALL,LTE 700,CHEM LES BODINS (LA TOUCHE) 37370 ST CHRISTOPHE SUR LE NAIS,37213,"47.62,0.4978",Pylône autostable,"32,0m",TOTEM,False,False
97542,ORANGE,ALL,5G NR 700,(BURENQUE) 47230 POMPIEY,47207,"44.1881,0.2175",Pylône autostable,"36,0m",TOTEM,False,False
98754,ORANGE,ALL,5G NR 700,R EDGAR QUINET RÉSIDENCE ST PAUL ENTRÉE 1 54130 ST MAX,54482,"48.6978,6.2094",Immeuble,"25,8m","Copropriété, Syndic, SCI",False,False
99398,ORANGE,ALL,5G NR 700,36 R CLAUDE BERNARD 57000 METZ,57463,"49.1103,6.2189",Immeuble,"42,0m",Société HLM,False,False
100148,ORANGE,ALL,5G NR 700,51 AVE EDOUARD HERRIOT 71000 MACON,71270,"46.2969,4.8244",Immeuble,"44,8m",Société HLM,False,False
100500,ORANGE,ALL,5G NR 700,"6, AV. DE LA FORET IMM ELLEBORE 60300 SENLIS",60612,"49.2092,2.5994",Immeuble,"26,0m",Société HLM,False,False
100534,ORANGE,ALL,5G NR 700,2 AV PIERRE ET MARIE CURIE 60100 CREIL,60175,"49.2519,2.4783",Immeuble,"23,0m",Société HLM,False,False
103329,ORANGE,ALL,5G NR 700,CHEM RURAL (PRÉ FOLLIET) 73410 ST OURS,73265,"45.7617,5.995",Pylône autostable,"40,0m",TOTEM,False,False
108422,ORANGE,ALL,5G NR 700,2 R GAGNEE 94400 VITRY SUR SEINE,94081,"48.8014,2.3803",Immeuble,"32,0m","Copropriété, Syndic, SCI",False,False
128203,ORANGE,ALL,5G NR 700,(TINGELBERG) 57445 REDING,57566,"48.7556,7.0903",Pylône autostable,"27,0m",ATC FRANCE,False,False
134164,ORANGE,ALL,5G NR 700,(LES LEGIES) 21800 NEUILLY CRIMOLOIS,21452,"47.2844,5.1125",Pylône autostable,"24,0m",ATC FRANCE,False,False
139354,ORANGE,ALL,5G NR 700,CHEM DE LA PROCESSION 08300 RETHEL,08362,"49.5172,4.3578",Pylône autostable,"12,0m",TOTEM,False,False
144246,ORANGE,ALL,5G NR 700,R EDISON 86100 CHATELLERAULT,86066,"46.8267,0.5328",Pylône autostable,"30,0m",TOTEM,False,False
146254,ORANGE,ALL,5G NR 700,"16 AV, DES JARDINIERS 34110 FRONTIGNAN",34108,"43.4514,3.7569",Immeuble,"16,0m","Copropriété, Syndic, SCI",False,False
204628,ORANGE,ALL,5G NR 700,(LE BOIS DE LA GUÉRIVIÈRE) 44190 ST LUMINE DE CLISSON,44173,"47.0881,-1.3825",Pylône autostable,"35,0m",HIVORY,False,False
226561,ORANGE,ALL,5G NR 3500,"6, R MICHEL SERVET 63200 RIOM",63300,"45.8839,3.1211",Pylône autostable,"21,0m",TOTEM,False,False
242967,ORANGE,ALL,5G NR 700,R DU FORT GAMBETTA 57140 WOIPPY,57751,"49.1497,6.1694",Pylône tubulaire,"27,5m",TOTEM,False,False
242991,ORANGE,ALL,5G NR 700,70 R DE BONNEUIL MATOURS 86000 POITIERS,86194,"46.5892,0.3711",Immeuble,"18,8m",Société Privée,False,False
245066,ORANGE,ALL,5G NR 700,4/6 R DE LA REINE ASTRID HOTEL ELISEO 65100 LOURDES,65286,"43.0953,-0.0564",Immeuble,"40,0m","Copropriété, Syndic, SCI",False,False
248102,ORANGE,ALL,5G NR 700,CHÂTEAU D EAU (A LABARTHETE/RD 287) 32380 ST CLAR,32370,"43.8906,0.7553",Château d'eau - réservoir,"30,0m","Commune, communauté de communes",False,False
252156,ORANGE,ALL,5G NR 700,ZAL DU CARREAU DE LA FOSSE 7 SA NICOLLIN 62210 AVION,62065,"50.4025,2.8153",Immeuble,"26,3m",Société Privée,False,False
