id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1571950,ORANGE,ALL,"LTE 1800, 5G NR 2100",CHEM DETAUSSAC (TAUSSAC NORD) 33480 STE HELENE,33417,"44.9789,-0.96",Pylône autostable,40m,TOTEM,2025-08-06,False,False
1584133,ORANGE,ALL,"LTE 2100, 5G NR 700, 5G NR 3500",LE SERS (CARLA) 31290 RIEUMAJOU,31453,"43.4208,1.7947",Pylône autostable,31m,ATC FRANCE,2025-08-07,False,False
1602025,ORANGE,AAV,"LTE 700, LTE 800", (LASPLANTERES) 65350 POUYASTRUC,65369,"43.2528,0.1556",Pylône autostable,"32,1m",ATC FRANCE,2025-08-25,False,True
1603313,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",RUE DES SOEURS BOUQUEREL 59283 RAIMBEAUCOURT,59489,"50.4319,3.0939",Pylône tubulaire,39m,TOTEM,2016-12-22,False,False
1606639,ORANGE,SUP,"GSM 900, UMTS 900",8 BOULEVARD DE METZ 67200 STRASBOURG,67482,"48.5831,7.7336",Bâtiment,"23,9m",Association,2020-04-20,False,False
1624693,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",R. DES CHATEAUX 59700 MARCQ EN BAROEUL,59378,"50.6567,3.1136",Pylône tubulaire,33m,TOTEM,2016-02-25,False,False
1640677,ORANGE,AJO,"LTE 1800, 5G NR 2100",CHEMIN DUPILLE (LE POIRIER RENAULT) 60130 BULLES,60115,"49.465,2.3253",Pylône autostable,25m,ATC FRANCE,,True,False
1651229,ORANGE,ALL,"LTE 1800, 5G NR 2100",VOIE COMMUNALE DE LABOISSIÈRE PRÈS DU CHEMIN DU BREIL HAUT (MARTINET) 82800 VAISSAC,82184,"44.0292,1.5978",Pylône autostable,35m,ATC FRANCE,2025-07-28,False,False
1654118,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",CHEM SANEF/A26 ORÉE DU BOIS SOIL (ORÉE DU BOIS SOIL) 62153 SOUCHEZ,62801,"50.4014,2.7492",Pylône autostable,"29,5m",TOTEM,2004-09-25,False,False
1669356,ORANGE,AJO,"LTE 700, 5G NR 2100",RUE DE LA LIBÉRATION  PRES D 911 (LE PETIT FIEF) 17430 MURON,17253,"46.0408,-0.8253",Pylône autostable,28m,TOTEM,,False,False
