id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
2999758,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",41 AV DU MAL LECLERC 50610 JULLOUVILLE,50066,"48.7711,-1.5667",Pylône tubulaire,"25,5m",CELLNEX,False,True
2999760,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",2 RTE DE RAVENOVILLE 50480 STE MERE EGLISE,50523,"49.4158,-1.3111",Pylône tubulaire,"25,5m",CELLNEX,False,True
3001690,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",CHEM DU CROS CHEMIN COMMUNAL 34420 VILLENEUVE LES BEZIERS,34336,"43.3214,3.2947",Pylône autostable,"36,0m",BOUYGUES,False,True
3001733,BOUYGUES TELECOM,SUP,GSM 900,114 BOULEVARD BRUNE 75014 PARIS 14,75114,"48.8239,2.3208",Bâtiment,"32,0m","Copropriété, Syndic, SCI",False,False
3002130,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800",CHEMIN COMMUNAL PIATROT BIS 63290 CHATELDON,63102,"45.9842,3.5158",Pylône autostable,"15,0m",TDF,True,True
3002154,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, 5G NR 2100",R JEAN DE LA FONTAINE (LA BREBIS) 02210 ROCOURT ST MARTIN,02649,"49.1456,3.3861",Pylône autostable,"43,0m",SFR,False,True
3002312,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",CHEMIN DE L'OBSERVATOIRE PROCHE ROUTE DE MAUZÉ DEPARTEMENTALE 169 (LES CHÊNES) 79210 PRIN DEYRANCON,79220,"46.2178,-0.6403",Pylône autostable,"26,7m",CELLNEX,False,True
3002855,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",ROUTE DE NOTRE DAME DES PINS 40500 AURICE,40020,"43.8225,-0.5975",Pylône autostable,"36,0m",ATC FRANCE,False,True
3002856,BOUYGUES TELECOM,SUP,GSM 900,59-61-63 RUE DE CHEVIGNÉ 51100 REIMS,51454,"49.2522,4.0481",Immeuble,"29,0m","Copropriété, Syndic, SCI",False,False
3003467,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",1 RUE DE CALAIS RESIDENCE COLOMBES 59190 HAZEBROUCK,59295,"50.7203,2.5256",Immeuble,"21,0m",Société HLM,False,True
3003503,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",120 CHEMIN DES TULIPES 34400 LUNEL,34145,"43.6733,4.1411",Immeuble,"19,0m","Copropriété, Syndic, SCI",False,True
3003668,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800",CHEMIN DE RIBAUTE (RIBES HAUTES) 30430 BARJAC,30029,"44.3283,4.3661",Pylône autostable,"9,5m",FREE-MOBILE,True,True
3003999,BOUYGUES TELECOM,SUP,GSM 900,114 RUE RENE SENECHAL 62400 BETHUNE,62119,"50.5308,2.6475",Immeuble,"22,0m",Société HLM,False,False
3004206,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800",CHEMIN DU PUY D'OLLOIX 63450 OLLOIX,63259,"45.6181,3.0425",Pylône autostable,33m,TDF,True,True
3004579,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",2778 MONTEE DES JONQUILLES (CHANTEMERLE) 01270 COLIGNY,01108,"46.3822,5.3581",Pylône autostable,38m,CELLNEX,False,True
3004797,BOUYGUES TELECOM,SUP,"UMTS 900, LTE 800, LTE 1800",821 AV JACK KILBY 06270 VILLENEUVE LOUBET,06161,"43.6475,7.1206",Pylône tubulaire,"13,0m",BOUYGUES,False,True
3005067,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800",D57A PRÈS DU CIMETIÈRE (LES ROCHERS) 63600 ST MARTIN DES OLMES,63374,"45.5342,3.7961",Pylône autostable,"30,0m",TOTEM,True,True
3005641,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",R DE BOURGOGNE CENTRALE THERMIQUE (CENTRALE THERMIQUE) 69700 LOIRE SUR RHONE,69118,"45.5636,4.8117",Pylône autostable,"32,3m",CELLNEX,False,True
3005968,BOUYGUES TELECOM,SUP,"UMTS 900, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",AV WALDECK ROCHET LE PARC DES JEUX PRES DE LA FONTAINE D'EAU 93120 LA COURNEUVE,93027,"48.9447,2.4019",Pylône tubulaire,"25,0m",BOUYGUES,False,False
3006119,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",2115 ROUTE D'HONDEGHEM D53 (MIDDEL ZUYD) 59670 STE MARIE CAPPEL,59536,"50.7675,2.5156",Pylône autostable,33m,TDF,False,True
3006468,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",RUE LES BAS CHAMPS (LE ROCHER) 22630 ST ANDRE DES EAUX,22274,"48.3742,-2.0147",Pylône autostable,"28,5m",CELLNEX,False,True
3006913,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",15 RUE DES ARTISANS (ZI NAUDON) 31390 CARBONNE,31107,"43.2939,1.2",Pylône autostable,42m,TDF,False,True
3007096,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",LA MARLIERE (LE PAQUIS BORE) 08200 ST MENGES,08391,"49.74,4.9175",Pylône autostable,"42,3m",ATC FRANCE,False,True
3007232,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",AVENUE DE BOURBON (LE BOIS SAINT DENIS CENTRE) 60500 CHANTILLY,60141,"49.1756,2.4636",Pylône tubulaire,"26,0m",TOTEM,False,True
3007259,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",2 ROUTE DE SEDAN (LE MELIER) 08200 WADELINCOURT,08494,"49.6894,4.9383",Pylône autostable,25m,TOTEM,False,True
3008265,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",RUE RIGOBERTA MENCHU AV DU COLONEL ROZANOFF 40000 MONT DE MARSAN,40192,"43.9003,-0.5058",Pylône autostable,"35,0m",HIVORY,False,True
3008575,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",ROUTE DE MARQUISE (LE NOUVEAU MONDE) 62610 BALINGHEM,62078,"50.85,1.9417",Pylône autostable,"24,0m",SFR,False,True
3008641,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800",PISTE COMMUNALE DITE CAMI DEL CORAL (CAN BILE) 66230 LAMANERE,66091,"42.36,2.5153",Pylône autostable,35m,SFR,True,True
3008840,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",PROCHE DE RUE DE DUNG -D479 (LA CHAUX) 25550 PRESENTEVILLERS,25469,"47.5017,6.7411",Pylône autostable,"42,5m",FREE-MOBILE,False,True
3009504,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800",(L'HUBAGON) 06750 SERANON,06134,"43.7694,6.6622",Pylône autostable,13m,CELLNEX,True,True
3009730,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",RUE DE LA GRANDE MONTAGNE (LA GRANDE MONTAGNE) 02310 NOGENT L ARTAUD,02555,"48.9625,3.3233",Pylône autostable,30m,ON TOWER FRANCE,False,True
3010577,BOUYGUES TELECOM,SUP,GSM 900,23 RUE GUSTAVE FLAUBERT 94190 VILLENEUVE ST GEORGES,94078,"48.7408,2.4667",Immeuble,"22,0m",Société HLM,False,False
3010914,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800",CHEMIN DE  LA PIGNOLE (SAGNES CROSES) 15270 CHAMPS SUR TARENTAINE MARCHAL,15038,"45.4267,2.6075",Pylône autostable,24m,SFR,True,True
3011784,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",3 ZONE ARTISANALE DU GUE MENOIS RUE DE LA PETITE DOUSARDE 49190 VAL DU LAYON,49292,"47.3031,-0.6425",Pylône autostable,"24,8m",CELLNEX,False,True
3014047,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",9 C R DES CHAMPS 67201 ECKBOLSHEIM,67118,"48.5861,7.6764",Immeuble,17m,TDF,False,True
3014264,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100","4, RUE DES JARRIERS 45700 VILLEMANDEUR",45338,"47.9864,2.6764",Pylône autostable,36m,BOUYGUES,False,True
3014283,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",20 R PIERRE SALVI 95350 ST BRICE SOUS FORET,95539,"48.9992,2.3597",Pylône tubulaire,31m,CELLNEX,False,True
3014442,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600",CHEMIN DU MOULIN NEUF LA LANDE DE BEAUCHENE (PIECE DE LA RIGOLE) 44110 ERBRAY,44054,"47.6964,-1.3458",Pylône autostable,"30,5m",CELLNEX,False,True
3014448,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",CHEMIN DE L'ETANG DE BUT (BOIS MARIE) 01440 VIRIAT,01451,"46.2814,5.2417",Pylône autostable,"32,3m",BOUYGUES,False,True
3016003,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800",(HAUT DU FOUILLOT) 70800 DAMPIERRE LES CONFLANS,70196,"47.8464,6.1719",Pylône autostable,"30,0m",TDF,True,True
