id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support
1379471,BOUYGUES TELECOM,ALL,5G NR 2100,CHEMIN RURAL DRAILLE DU BAGNOLET 13150 TARASCON,13108,"43.8283,4.7247",Pylône autostable,31m,TDF
1379961,BOUYGUES TELECOM,ALL,5G NR 3500,RUE D ENSISHEIM 68270 WITTENHEIM,68376,"47.8097,7.3392",Monument religieux,"44,9m","Commune, communauté de communes"
1381850,ORANGE,ALL,"LTE 700, LTE 800",CHEMIN RURAL DE LA CROIX SAINT MARTIN ZA DE LA FRANCE (LES RIVIÈRES) 85190 VENANSAULT,85300,"46.7122,-1.5322",Pylône autostable,38m,TOTEM
1404131,ORANGE,EXT,LTE 700,(LE CLOS SEC) 72130 ST LEONARD DES BOIS,72294,"48.3644,-0.0853",Pylône autostable,31m,TOTEM
1422218,BOUYGUES TELECOM,ALL,5G NR 3500,15 R JEAN GIRAUDOUX 92330 SCEAUX,92071,"48.7831,2.2997",Immeuble,"39,8m",Société HLM
1437091,FREE MOBILE,ALL,5G NR 3500,AV GEORGES GUILLE (LA TREILLE) 11000 CARCASSONNE,11069,"43.2303,2.3628",Pylône autostable,31m,HIVORY
1439299,BOUYGUES TELECOM,ALL,LTE 700,1 R VINCENT D'INDY 37000 TOURS,37261,"47.3675,0.7075",Immeuble,55m,Société Privée
1441388,FREE MOBILE,ALL,5G NR 3500,LE PARC À BORET (LA BOUE) 44480 DONGES,44052,"47.3461,-2.0739",Pylône autostable,"48,2m",SFR
1465342,ORANGE,SUP,"GSM 900, UMTS 900, LTE 800, LTE 1800, LTE 2100, LTE 2600",CHEM PEUPLIERS TERRAIN ESCOTA-BORD A8 06250 MOUGINS,6085,"43.5783,6.9839",Pylône tubulaire,"15,8m",ORANGE
1475031,FREE MOBILE,ALL,5G NR 3500,RÉSERVOIR DE GRANS (LES BASSES PLAINES) 13450 GRANS,13044,"43.6036,5.0622",Pylône autostable,27m,HIVORY
1479193,BOUYGUES TELECOM,SUP,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",60 RUE DE LA DHUYS 93130 NOISY LE SEC,93053,"48.8786,2.4608",Immeuble,"38,3m",Société HLM
1482515,FREE MOBILE,ALL,5G NR 3500,CHEMIN DU BOUSQUET STADE BARADEL 15000 AURILLAC,15014,"44.9025,2.4394",Pylône tubulaire,25m,ATC FRANCE
1499072,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",CHEMIN DES DUPINES BASSE PRAIRIE CENTRE 30100 ALES,30007,"44.1064,4.0881",Pylône autostable,20m,HIVORY
1530263,Gouv Nelle Calédonie (OPT),SUP,"GSM 900, UMTS 900, LTE 800",(BWA YADA) 98815 HIENGHENE,98807,"-20.6889,164.7747",Pylône tubulaire,12m,Office des Postes et Télécom
1539598,BOUYGUES TELECOM,ALL,5G NR 3500,172 AVENUE GENERAL PATTON 49000 ANGERS,49007,"47.4736,-0.5992",Immeuble,"46,5m",Société HLM
1541043,BOUYGUES TELECOM,SUP,"UMTS 900, LTE 700, LTE 800",HAUT DE VOIES DE BOUCHERES (VOIE DE BOUCHÈRES) 89700 MOLOSMES,89262,"47.8947,4.04",Pylône autostable,"37,4m",HIVORY
1541043,FREE MOBILE,SUP,"UMTS 900, LTE 700",HAUT DE VOIES DE BOUCHERES (VOIE DE BOUCHÈRES) 89700 MOLOSMES,89262,"47.8947,4.04",Pylône autostable,"37,4m",HIVORY
1541043,ORANGE,SUP,"UMTS 900, LTE 700, LTE 800",HAUT DE VOIES DE BOUCHERES (VOIE DE BOUCHÈRES) 89700 MOLOSMES,89262,"47.8947,4.04",Pylône autostable,"37,4m",HIVORY
1557065,ORANGE,ALL,LTE 700,DÉCHETTERIE ZA DU PRÉ ROBERT 71250 CLUNY,71137,"46.4161,4.6617",Pylône tubulaire,26m,TOTEM
1570890,BOUYGUES TELECOM,ALL,LTE 2600,0 (LES TAILLADES) 30110 BRANOUX LES TAILLADES,30051,"44.2258,4.0031",Pylône autostable,36m,HIVORY
1583652,FREE MOBILE,ALL,5G NR 3500,AVENUE GABRIEL PERI 92230 GENNEVILLIERS,92036,"48.9142,2.2961",Immeuble,21m,Société HLM
